name,logS,smiles
Androstenedione,-3.69,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O
Androsterone,-4.402,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O
Anethole,-3.13,CC=Cc1ccc(OC)cc1
Aniline ,-0.41,Nc1ccccc1
Anilofos,-4.432,COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C
Anisole,-1.85,COc1ccccc1
Anthracene,-6.35,c1ccc2cc3ccccc3cc2c1
Anthraquinone,-5.19,O=C1c2ccccc2C(=O)c2ccccc21
Antipyrene,0.715,Cc1cc(=O)n(-c2ccccc2)n1C
Apazone,-3.538,CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O
Atratone,-2.084,CCNc1nc(NC(C)C)nc(OC)n1
Azintamide,-1.716,CCN(CC)C(=O)CSc1ccc(Cl)nn1
Azobenzene,-4.45,c1ccc(N=Nc2ccccc2)cc1
Azodrin,0.651,CNC(=O)C=C(C)OP(=O)(OC)OC
Barban,-4.37,O=C(Nc1cccc(Cl)c1)OCC#CCCl
Barbital,-2.4,CCC1(CC)C(=O)NC(=O)NC1=O
Bendroflumethiazide,-3.59,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O
Benfluralin,-5.53,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
Benfuracarb,-4.71,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C
benodanil,-4.21,O=C(Nc1ccccc1)c1ccccc1I
Benomyl,-4.883,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21
Bensulide,-4.2,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1
Benzaldehyde,-1.19,O=Cc1ccccc1
Benzamide,-0.96,NC(=O)c1ccccc1
Benzene ,-1.64,c1ccccc1
benzhydrol,-2.55,OC(c1ccccc1)c1ccccc1
Benznidazole,-2.81,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1
Benzo(a)fluorene,-6.68,c1ccc2c(c1)Cc1c-2ccc2ccccc12
Benzo(a)pyrene,-8.699,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34
Benzo(b)fluoranthene,-8.23,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13
Benzo(b)fluorene,-8.04,c1ccc2c(c1)Cc1cc3ccccc3cc1-2
Benzo(e)pyrene,-7.8,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31
Benzo(j)fluoranthene,-8,c1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12
Benzo(k)fluoranthene,-8.49,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12
Benzo[ghi]perylene,-9.018,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56
Benzocaine,-2.616,CCOC(=O)c1ccc(N)cc1
benzoin,-2.85,O=C(c1ccccc1)C(O)c1ccccc1
Benzonitrile,-1,N#Cc1ccccc1
Benzophenone,-3.12,O=C(c1ccccc1)c1ccccc1
benzothiazole,-1.5,c1ccc2scnc2c1
Benzotriazole,-0.78,c1ccc2[nH]nnc2c1
Benzoxazole,-1.16,c1ccc2ocnc2c1
Benzylchloride,-2.39,ClCc1ccccc1
Benzyltrifluoride,-2.51,FC(F)(F)c1ccccc1
benzylurea,-0.95,NC(=O)NCc1ccccc1
Betamethasone-17-valerate,-4.71,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
Bibenzyl ,-4.62,c1ccc(CCc2ccccc2)cc1
Biphenyl,-4.345,c1ccc(-c2ccccc2)cc1
biquinoline,-5.4,c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1
borneol,-2.32,CC1(C)C2CCC1(C)C(O)C2
Bromacil,-2.523,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O
bromadiolone,-4.445,O=c1oc2ccccc2c(O)c1C(CC(O)c1ccc(-c2ccc(Br)cc2)cc1)c1ccccc1
Bromobenzene,-2.55,Brc1ccccc1
Bromochloromethane,-0.89,ClCBr
Bromodichloromethane,-1.54,ClC(Cl)Br
Bromoethane,-1.09,CCBr
Bromomethane,-0.79,CBr
Bromophos,-6.09,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl
bromopropylate,-4.93,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1
bromoxynil,-3.33,N#Cc1cc(Br)c(O)c(Br)c1
brompyrazone,-3.127,Nc1cnn(-c2ccccc2)c(=O)c1Br
bupirimate,-4.16,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C
butacarb,-4.24,CNC(=O)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1
butachlor,-4.19,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC
butallylonal,-2.647,C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O
Butamben,-3.082,CCCCOC(=O)c1ccc(N)cc1
Butan-2-ol,0.47,CCC(C)O
Butane,-2.57,CCCC
Butanethiol ,-2.18,CCCCS
Butethal,-1.661,CCCCC1(CC)C(=O)NC(=O)NC1=O
Buthidazole,-1.877,CN1CC(O)N(c2nnc(C(C)(C)C)s2)C1=O
Buturon,-3.9,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1
Butyl acetate,-1.37,CCCCOC=O
Butylate,-3.68,CCSC(=O)N(CC(C)C)CC(C)C
Butylbenzene,-4.06,CCCCc1ccccc1
Butyraldehyde,-0.01,CCCC=O
Caffeine,-0.876,Cn1c(=O)c2c(ncn2C)n(C)c1=O
Camphor,-1.96,CC12CCC(CC1=O)C2(C)C
Caproaldehyde,-1.3,CCCCCC=O
captafol,-5.4,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl
Carbanilide,-3.15,O=C(Nc1ccccc1)Nc1ccccc1
Carbaryl,-3.224,CNC(=O)Oc1cccc2ccccc12
Carbetamide,-1.83,CCNC(=O)C(C)OC(=O)Nc1ccccc1
Carbofuran,-2.8,CNC(=O)Oc1cccc2c1OC(C)(C)C2
Carbophenthion,-5.736,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1
Carboxin,-3.14,CC1=C(C(=O)Nc2ccccc2)SCCO1
Carbromal,-2.68,CCC(Br)(CC)C(=O)NC(N)=O
Carvacrol,-2.08,Cc1ccc(C(C)C)cc1O
Carvone,-2.06,C=C(C)C1CC=C(C)C(=O)C1
chloralose,-1.84,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O
Chloramphenicol,-2.111,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
Chlorazine,-4.411,CCN(CC)c1nc(Cl)nc(N(CC)CC)n1
Chlorbromuron,-3.924,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1
Chlorbufam,-2.617,C#CC(C)OC(=O)Nc1cccc(Cl)c1
Chlordane,-6.86,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl
Chlordene,-5.64,ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl
chlordimeform,-2.86,Cc1cc(Cl)ccc1N=CN(C)C
Chlorimuron-ethyl (ph 7),-4.576,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(OC)n1
chloroacetamide,-0.02,NC(=O)CCl
Chloroacetonitrile,-0.092,N#CCCl
Chlorobenzene,-2.38,Clc1ccccc1
Chlorodibromethane,-1.9,ClC(Br)Br
Chloroethane,-1.06,CCCl
Chloroethylene,-1.75,C=CCl
Chloropham,-3.38,CC(C)OC(=O)Nc1cccc(Cl)c1
Chloropicrin,-2,O=[N+]([O-])C(Cl)(Cl)Cl
chloropropylate,-4.53,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1cccc(Cl)c1
Chlorothalonil,-5.64,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
chlorothiazide,-3.05,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
Chlorotoluron,-3.46,Cc1ccc(NC(=O)N(C)C)cc1Cl
Chloroxuron,-4.89,CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1
chlorpyrifos,-5.67,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
chlorquinox,-5.43,Clc1c(Cl)c(Cl)c2nccnc2c1Cl
Chlorthalidone,-3.451,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
Chlortoluron,-3.483,Cc1ccc(NC(=O)N(C)C)cc1Cl
Chlorzoxazone,-2.831,O=c1[nH]c2cc(Cl)ccc2o1
Cholanthrene,-7.85,c1cc2c3c(c4ccc5ccccc5c4cc3c1)CC2
Chrysene,-8.057,c1ccc2c(c1)ccc1c3ccccc3ccc21
"cis 1,2-Dichloroethylene",-1.3,Cl/C=C\Cl
"cis-1,2-Dimethylcyclohexane",-4.3,CC1CCCCC1C
cis-2-Pentene,-2.54,C/C=C\CC
citral,-2.06,CC(C)=CCCC(C)=CC=O
Clomazone,-2.338,CC1(C)CON(Cc2ccccc2Cl)C1=O
Clonazepam,-3.499,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
Coronene,-9.332,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61
Cortisone,-3.11,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO
cortisone acetate,-4.21,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C
Coumachlor,-5.839,CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O
Coumaphos,-5.382,CCOP(=S)(OCC)Oc1ccc2oc(=O)c(Cl)c(C)c2c1
Coumatetralyl,-2.84,O=c1oc2ccccc2c(O)c1C1CCCc2ccccc21
Cyanazine,-3.15,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1
cycloate,-3.4,CCSC(=O)N(CC)C1CCCCC1
cyclobarbital,-2.17,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
Cyclobutyl-5-spirobarbituric acid,-1.655,O=C1NC(=O)C2(CCC2)C(=O)N1
Cycloheptane,-3.51,C1CCCCCC1
Cycloheptanol,-0.88,OC1CCCCCC1
Cycloheptene,-3.18,C1=CCCCCC1
Cycloheptyl-5-spirobarbituric acid,-3.168,O=C1NC(=O)C2(CCCCCC2)C(=O)N1
Cyclohexane,-3.1,C1CCCCC1
Cyclohexanol ,-0.44,OC1CCCCC1
Cyclohexanone,-0.6,O=C1CCCCC1
Cyclohexene,-2.59,C1=CCCCC1
cycloheximide,-1.13,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1
Cyclohexyl-5-spirobarbituric acid,-3.06,O=C1NC(=O)C2(CCCCC2)C(=O)N1
Cyclooctane,-4.15,C1CCCCCCC1
Cyclooctanol,-1.29,OC1CCCCCCC1
Cyclooctyl-5-spirobarbituric acid,-2.982,O=C1NC(=O)C2(CCCCCCC2)C(=O)N1
Cyclopentane ,-2.64,C1CCCC1
Cyclopentene ,-2.1,C1=CCCC1
Cyclopentyl-5-spirobarbituric acid,-2.349,O=C1NC(=O)C2(CCCC2)C(=O)N1
Cyclopropyl-5-spirobarbituric acid,-1.886,O=C1NC(=O)C2(CC2)C(=O)N1
Cycluron,-2.218,CN(C)C(=O)NC1CCCCCCC1
Cyfluthrin,-7.337,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1
Cyhalothrin,-8.176,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
Cypermethrin,-8.017,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
cytosine,-1.155,Nc1cc[nH]c(=O)n1
Danazol,-5.507,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C
Dapsone,-3.094,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
DDD,-7.2,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1
DDE,-6.9,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
DDT,-7.15,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
Decalin,-5.19,C1CCC2CCCCC2C1
DEF,-5.14,CCCCSP(=O)(SCCCC)SCCCC
Deltamethrin,-8.402,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
Deoxycorticosterone,-3.45,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12
deoxycorticosterone acetate,-4.63,CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
Desmedipham,-4.632,CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1
dexamethasone acetate,-4.9,CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
D-fenchone,-1.85,CC12CCC(C1)C(C)(C)C2=O
Di(2-ethylhexyl)-phthalate,-6.96,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
Dialifor,-6.34,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O
Dialifos,-6.34,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O
Diallate,-4.286,CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C
Diazepam,-3.754,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
Diazinon,-3.64,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1
Dibenzofurane,-4.6,c1ccc2c(c1)oc1ccccc12
Dibenzothiophene,-4.38,c1ccc2c(c1)sc1ccccc12
Dibromomethane,-1.17,BrCBr
Dibutyl ether ,-1.85,CCCCOCCCC
dibutyl sebacate,-3.896,CCCCOC(=O)CCCCCCCCC(=O)OCCCC
dibutylphthalate,-4.4,CCCCOC(=O)c1ccccc1C(=O)OCCCC
Dicapthon,-4.31,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1Cl
Dichloromethane,-0.63,ClCCl
Dichlorophen,-3.953,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O
Dicofol,-5.666,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl
Dieldrin,-6.29,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
Dienestrol,-4.95,CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1
Dienochlor,-7.278,ClC1=C(Cl)C(Cl)(C2(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl
Diethyl ether ,-0.09,CCOCC
Diethyl phthalate ,-2.35,CCOC(=O)c1ccccc1C(=O)OCC
Diethyl sulfide,-1.34,CCSCC
Diethyldisulfide,-2.42,CCSSCC
diethylstilbestrol,-4.07,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1
Difenoxuron,-4.16,COc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1
difluron,-6.02,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1
Digitoxin,-5.293,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O
"Digoxin (L1=41,8mg/mL, L2=68,2mg/mL, Z=40,1mg/mL)",-4.081,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O
Dihexyl phthalate,-6.144,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC
Diiodomethane,-2.34,ICI
diisooctyl phthalate,-6.637,CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C
Diisopropyl ether ,-1.1,CC(C)OC(C)C
Diisopropylsulfide,-2.24,CC(C)SC(C)C
Dimecron,0.523,CCN(CC)C(=O)C(Cl)=CCOP(=O)(OC)OC
Dimefuron,-4.328,CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1
dimetan,-0.85,CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1
dimethirimol,-2.24,CCCCc1c(C)nc(N(C)C)nc1O
Dimethoxymethane,0.48,COCOC
Dimethyl phthalate,-1.66,COC(=O)c1ccccc1C(=O)OC
Dimethyl sulfide,-0.45,CSC
Dimethyldisulfide,-1.44,CSSC
Dinitramine,-5.47,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-]
Dinoseb,-3.38,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
d-inositol,0.35,OC1C(O)C(O)C(O)C(O)C1O
Di-n-propylsulfide,-2.58,CCCSCCC
dioctyl phthalate,-5.115,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC
Diosgenin,-7.32,CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1
Dioxacarb,-1.57,CNC(=O)Oc1ccccc1C1OCCO1
diphenamid,-2.98,CN(C)C(=O)C(c1ccccc1)c1ccccc1
Diphenyl ether ,-3.96,c1ccc(Oc2ccccc2)cc1
Diphenylmethane,-4.08,c1ccc(Cc2ccccc2)cc1
Dipropyl ether,-1.62,CCCOCCC
Disulfiram,-4.86,CCN(CC)C(=S)SSC(=S)N(CC)CC
Disulfoton,-4.23,CCOP(=S)(OCC)SCCSCC
Ditalimfos,-3.35,CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O
Diuron,-3.8,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
d-Limonene,-4.26,C=C(C)C1CC=C(C)CC1
DNOC,-1.456,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
Dulcin,-2.17,CCOc1ccc(NC(N)=O)cc1
Dyphylline,-0.17,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O
Eicosane,-8.172,CCCCCCCCCCCCCCCCCCCC
Endrin,-6.18,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
Epiandrosterone,-4.16,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O
Epitostanol,-5.41,CC12CCC3C(CCC4CC5SC5CC43C)C1CCC2O
Equilenin,-5.24,CC12CCc3c(ccc4cc(O)ccc34)C1CCC2=O
Equilin,-5.282,CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O
Eriodictyol,-3.62,O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21
Erythritol,0.7,OCC(O)C(O)CO
Estradiol,-5.03,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O
Estragole,-2.92,C=CCc1ccc(OC)cc1
estriol,-4.955,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O
Ethalfluralin,-6.124,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
Ethane,-1.36,CC
Ethanethiol,-0.6,CCS
Ethanol,1.1,CCO
Ethinyl estradiol,-4.3,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C
ethiofencarb,-2.09,CCSCc1ccccc1OC(=O)NC
Ethion,-5.54,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
Ethirimol,-3.028,CCCCc1c(C)nc(NCC)[nH]c1=O
Ethisterone,-5.66,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
Ethofumesate,-3.42,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C
ethofumesate,-3.42,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C
Ethyl acetate,-0.04,CCOC(C)=O
Ethyl benzoate ,-2.32,CCOC(=O)c1ccccc1
Ethyl butyrate,-1.28,CCCCCOC(=O)CC
ethyl cinnamate,-3,CCOC(=O)C=Cc1ccccc1
Ethyl decanoate,-4.1,CCCCCCCCCC(=O)OCC
Ethyl formate,0.15,CCOC=O
Ethyl heptanoate,-2.74,CCCCCCC(=O)OCC
Ethyl hexanoate,-2.35,CCCCCC(=O)OCC
Ethyl nonanoate,-3.8,CCCCCCCCC(=O)OCC
Ethyl octanoate,-3.39,CCCCCCCC(=O)OCC
Ethyl pentanoate,-1.75,CCCOC(=O)CCC
Ethyl propionate,-0.66,CCOC(=O)CC
Ethyl propyl ether,-0.66,CCCOCC
Ethyl vinyl ether,-0.85,C=COCC
Ethylbenzene,-2.77,CCc1ccccc1
Ethylcyclohexane,-4.25,CCC1CCCCC1
Ethylene,-0.4,C=C
Ethyl-p-aminobenzoate,-2.1,CCOC(=O)c1ccc(N)cc1
Ethyl-p-hydroxybenzoate ,-2.35,CCOC(=O)c1ccc(O)cc1
Ethyne,0.29,C#C
Etofenprox,-8.6,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1
Etomidate,-4.735,CCOC(=O)c1cncn1C(C)c1ccccc1
"Etoposide (148-167,25mg/ml)",-3.571,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O
Eugenol,-1.56,C=CCc1ccc(O)c(OC)c1
Fenarimol,-4.38,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl
Fenfuram,-3.3,Cc1occc1C(=O)Nc1ccccc1
Fenitrothion,-4.04,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1
Fenothiocarb,-3.927,CN(C)C(=O)SCCCCOc1ccccc1
Fenoxycarb,-4.7,CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1
Fenpropathrin,-6.025,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C
fensulfothion,-2.3,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1
Fenthion,-4.57,COP(=S)(OC)Oc1ccc(SC)c(C)c1
Fenuron,-1.6,CN(C)C(=O)Nc1ccccc1
fluconazole,-1.8,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
Flucythrinate,-6.876,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1
Flucytosine,-0.972,Nc1nc(=O)[nH]cc1F
Fludrocortisone,-3.43,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F
Flumethasone,-5.613,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
Flumetralin,-6.78,CCN(Cc1c(F)cccc1Cl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
Fluometuron,-3.43,CN(C)C(=O)Nc1cccc(C(F)(F)F)c1
Fluoranthene,-6,c1ccc2c(c1)-c1cccc3cccc-2c13
Fluorene ,-5,c1ccc2c(c1)Cc1ccccc1-2
Fluorobenzene,-1.8,Fc1ccccc1
Fluoromethalone,-4.099,CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
Fluorometuron,-3.32,CN(C)C(=O)Nc1cccc(C(F)(F)F)c1
Fluridone,-4.445,Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1
Flurochloridone,-4.047,O=C1C(Cl)C(CCl)CN1c1cccc(C(F)(F)F)c1
Flutriafol,-3.37,OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F
Fluvalinate,-8.003,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
Formetanate,-2.34,CNC(=O)Oc1cccc(N=CN(C)C)c1
Formothion,-1.995,COP(=S)(OC)SCC(=O)N(C)C=O
Fructose,0.64,OCC1OC(O)(CO)C(O)C1O
Furane,-0.82,c1ccoc1
Furfural,-0.1,O=Cc1ccco1
gentisin,-2.943,COC1=CC2OC3C=CC(O)=CC3C(=O)C2C(O)=C1
Glafenine,-4.571,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
glucose,0.74,OCC1OC(O)C(O)C(O)C1O
Glutethimide,-2.337,CCC1(c2ccccc2)CCC(=O)NC1=O
Glycerol,1.12,OCC(O)CO
Glyceryl triacetate,-0.6,CC(=O)OCC(COC(C)=O)OC(C)=O
Guaiacol,-1.96,COc1ccccc1O
guanine,-3.583,Nc1nc2[nH]cnc2c(=O)[nH]1
halothane,-1.71,FC(F)(F)C(Cl)Br
hematein,-2.7,O=C1C=C2CC3(O)COc4c(ccc(O)c4O)C3=C2C=C1O
Heptachlor,-6.317,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl
Heptane,-4.53,CCCCCCC
"Hexachloro-1,3-butadiene",-4.92,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl
Hexachloroethane,-3.67,ClC(Cl)(Cl)C(Cl)(Cl)Cl
hexacosane,-8.334,CCCCCCCCCCCCCCCCCCCCCCCCCC
Hexadecane,-8.4,CCCCCCCCCCCCCCCC
Hexamethylbenzene,-5.23,Cc1c(C)c(C)c(C)c(C)c1C
Hexane ,-3.84,CCCCCC
Hexestrol,-4.43,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1
Hexylbenzene ,-5.21,CCCCCCc1ccccc1
hydantoin,-0.4,O=C1CNC(=O)N1
hydrazobenzene,-2.92,c1ccc(NNc2ccccc2)cc1
hydrobenzoin,-1.93,OC(c1ccccc1)C(O)c1ccccc1
hydrochlorothiazide,-2.63,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
Hydrocortisone ,-3.09,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
Hydrocortisone 21-acetate,-4.88,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C
hydroxychlordene,-5.46,OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
Hydroxyprogesterone-17a,-3.817,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
Hypoxanthine,-2.296,O=c1[nH]cnc2nc[nH]c12
Indan,-3.04,c1ccc2c(c1)CCC2
Indapamide,-3.586,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
indazole,-2.16,c1ccc2[nH]ncc2c1
Indole,-1.52,c1ccc2[nH]ccc2c1
indoline,-1.04,c1ccc2c(c1)CCN2
Inosine,-1.23,OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O
Iodobenzene,-3.01,Ic1ccccc1
Iodoethane,-1.6,CCI
Iodofenphos,-6.62,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl
Iodomethane,-1,CI
Ioxynil,-3.61,N#Cc1cc(I)c(O)c(I)c1
Ipazine,-3.785,CCN(CC)c1nc(Cl)nc(NC(C)C)n1
Isazofos,-3.658,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1
Isobutyl acetate,-1.21,CC(=O)OCC(C)C
Isobutyl formate,-1.01,CC(C)COC=O
Isobutylbenzene,-4.12,CC(C)Cc1ccccc1
